name,country,continent,unesco_id,inception_year,inscription_year,heritage_criteria,official_website,wikidata_item,lon,lat
Historic Centre of Salvador da Bahia,Brazil,South America,309,,1985,http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q5572706,-38.5,-12.9667
Historic Centre of São Luís,Brazil,South America,821,,1997,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q8343768,-44.305795125,-2.52773314
Historic Centre of the Town of Diamantina,Brazil,South America,890,,1999,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q8343760,-43.6,-18.23333333
Historic Centre of the Town of Goiás,Brazil,South America,993,,2001,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q8343761,-50.13336,-15.93328
Historic Centre of the Town of Olinda,Brazil,South America,189,,1982,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q8343764,-34.845,-8.01333333
Historic City of Ahmadabad,India,Asia,1551,,2017,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038979,http://heritage.ahmedabadcity.gov.in/,http://www.wikidata.org/entity/Q5472448,72.5875,23.0256
Historic City of Ayutthaya,Thailand,Asia,,,1991,http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q111905239,100.560555555,14.347777777
Historic City of Toledo,Spain,Europe,379,,1986,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q17255635,-4.024613,39.856901
Historic Monuments of Ancient Kyoto,Japan,Asia,688,,1994,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q874027,135.752778,35.060278
Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,People's Republic of China,Asia,1305rev,,2010,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q5934942,113.0677194,34.45874722
Historic Monuments of Novgorod and Surroundings,Russia,Europe,604,,1992,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978;http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q1218832,31.28555556,58.51833333
Historic Town of Ouro Preto,Brazil,South America,124,,1980,http://www.wikidata.org/entity/Q23038972;http://www.wikidata.org/entity/Q23038977,,http://www.wikidata.org/entity/Q3845692,-43.503639899,-20.385773366
Historical center of Paraty,Brazil,South America,1308rev-005,,,,,http://www.wikidata.org/entity/Q56641300,-44.713055,-23.218019
historical centre of Yaroslavl,Russia,Europe,1170,,2005,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038978,,http://www.wikidata.org/entity/Q4204534,39.8875,57.623611
Honghe Hani Rice Terraces,People's Republic of China,Asia,1111,,2013,http://www.wikidata.org/entity/Q23038977;http://www.wikidata.org/entity/Q23038979,,http://www.wikidata.org/entity/Q11605230,102.7377,23.117187
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",South Africa,Africa,1676,,2024,http://www.wikidata.org/entity/Q23038980,,http://www.wikidata.org/entity/Q65936861,28.211880555,-25.740661111
Hwaseong Fortress,South Korea,Asia,817,,1997,http://www.wikidata.org/entity/Q23038976;http://www.wikidata.org/entity/Q23038977,https://www.swcf.or.kr/english/,http://www.wikidata.org/entity/Q482423,127.010202777,37.280733333
